OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
92,2020/07/13 14:00:00+00,0,8,22,13,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
93,2020/07/14 14:00:00+00,0,8,22,13,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,2
94,2020/07/15 14:00:00+00,0,8,22,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
95,2020/07/16 14:00:00+00,0,8,22,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
96,2020/07/17 14:00:00+00,0,8,22,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
97,2020/07/18 14:00:00+00,0,8,20,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
98,2020/07/19 14:00:00+00,0,8,20,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
99,2020/07/20 14:00:00+00,0,8,20,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
100,2020/07/21 14:00:00+00,0,8,20,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
101,2020/07/22 14:00:00+00,0,8,20,14,1,0,3,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,0
102,2020/07/23 14:00:00+00,0,8,20,14,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,0
103,2020/07/24 14:00:00+00,0,8,20,14,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
104,2020/07/25 14:00:00+00,0,8,20,14,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,1
105,2020/07/26 14:00:00+00,0,8,20,14,1,0,2,1,2,0,7,0,3,6,1,38,23,1,0,0,0,0,0,1,3
106,2020/07/27 14:00:00+00,0,8,20,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,3
107,2020/07/28 14:00:00+00,0,8,22,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,0
108,2020/07/29 14:00:00+00,0,8,22,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,0
109,2020/07/30 14:00:00+00,0,8,22,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,0
110,2020/07/31 14:00:00+00,0,8,22,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,0
111,2020/08/01 14:00:00+00,0,9,22,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,0
112,2020/08/02 14:00:00+00,0,9,22,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
113,2020/08/03 14:00:00+00,0,9,22,14,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
114,2020/08/04 14:00:00+00,0,9,22,15,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
115,2020/08/05 14:00:00+00,0,9,22,15,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
116,2020/08/06 14:00:00+00,0,9,22,15,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,3
117,2020/08/07 14:00:00+00,0,9,22,16,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
118,2020/08/08 14:00:00+00,0,9,22,15,1,0,2,1,2,0,7,0,3,7,1,39,23,1,0,0,0,0,0,1,3
119,2020/08/09 14:00:00+00,0,9,22,15,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,4
120,2020/08/10 14:00:00+00,0,9,22,16,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,3
121,2020/08/11 14:00:00+00,0,10,22,16,1,0,2,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
122,2020/08/12 14:00:00+00,0,10,22,16,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
123,2020/08/13 14:00:00+00,0,10,22,15,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
124,2020/08/14 14:00:00+00,0,10,23,15,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,0
125,2020/08/15 14:00:00+00,0,10,23,15,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
126,2020/08/16 14:00:00+00,0,10,23,15,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
127,2020/08/17 14:00:00+00,0,10,23,15,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
128,2020/08/18 14:00:00+00,0,10,23,15,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,3
129,2020/08/19 14:00:00+00,0,10,23,15,1,0,3,1,2,0,7,0,3,6,1,40,23,1,0,0,0,0,0,1,2
130,2020/08/20 14:00:00+00,0,10,23,15,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
131,2020/08/21 14:00:00+00,0,10,23,16,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
132,2020/08/22 14:00:00+00,0,10,23,16,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
133,2020/08/23 14:00:00+00,0,10,23,16,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
134,2020/08/24 14:00:00+00,0,10,23,16,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,3
135,2020/08/25 14:00:00+00,0,10,23,16,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,6
136,2020/08/26 14:00:00+00,0,10,24,19,1,0,3,2,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
137,2020/08/27 14:00:00+00,0,10,24,19,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,1
138,2020/08/28 14:00:00+00,0,10,23,20,1,0,3,1,2,0,7,0,3,6,1,39,23,1,0,0,0,0,0,1,2
139,2020/08/29 14:00:00+00,0,10,23,20,1,0,3,1,2,0,7,0,3,6,1,39,23,2,0,0,0,0,0,1,1
140,2020/08/30 14:00:00+00,0,10,23,20,1,0,3,1,2,0,7,0,3,6,2,39,23,1,0,0,0,0,0,1,1
141,2020/08/31 14:00:00+00,0,10,23,20,1,0,3,1,2,0,7,0,3,6,2,39,23,1,0,0,0,0,0,1,1
142,2020/09/01 14:00:00+00,0,10,23,20,1,0,3,1,2,0,7,0,3,6,2,39,23,1,0,0,0,0,0,1,2
143,2020/09/02 14:00:00+00,0,10,23,20,1,0,3,1,2,0,7,0,3,6,2,39,23,1,0,0,0,0,0,1,1
144,2020/09/03 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,39,23,1,0,0,0,0,0,1,0
145,2020/09/04 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,39,23,1,0,0,0,0,0,1,0
146,2020/09/05 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,39,23,1,0,0,0,0,0,1,0
147,2020/09/06 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,39,23,1,0,0,0,0,0,1,0
148,2020/09/07 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,39,23,1,0,0,0,0,0,1,0
149,2020/09/08 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,39,23,1,0,0,0,0,0,1,0
150,2020/09/09 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,39,23,1,0,0,0,0,0,1,0
151,2020/09/10 14:00:00+00,0,11,23,20,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
152,2020/09/11 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
153,2020/09/12 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
154,2020/09/13 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
155,2020/09/14 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
156,2020/09/15 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
157,2020/09/16 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
158,2020/09/17 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,1
159,2020/09/18 14:00:00+00,0,11,23,18,1,0,3,1,2,0,7,0,4,6,2,41,23,1,0,0,0,0,0,1,1
160,2020/09/19 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
161,2020/09/20 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
162,2020/09/21 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
163,2020/09/22 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,3
164,2020/09/23 14:00:00+00,0,12,24,18,1,0,4,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
165,2020/09/24 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,0
166,2020/09/25 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,1
167,2020/09/26 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,1
168,2020/09/27 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,1
169,2020/09/28 14:00:00+00,0,12,23,18,1,0,3,1,2,0,7,0,4,6,2,40,23,1,0,0,0,0,0,1,1
170,2020/09/29 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
171,2020/09/30 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
172,2020/10/01 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
173,2020/10/02 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
174,2020/10/03 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
175,2020/10/04 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
176,2020/10/05 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
177,2020/10/06 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
178,2020/10/07 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
179,2020/10/08 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
180,2020/10/09 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,1
181,2020/10/10 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,1
182,2020/10/11 14:00:00+00,0,13,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
183,2020/10/12 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
184,2020/10/13 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,23,1,0,0,0,0,0,1,0
185,2020/10/14 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,24,1,0,0,0,0,0,1,0
186,2020/10/15 14:00:00+00,0,12,23,17,1,0,3,1,2,0,8,0,4,6,2,40,24,1,0,0,0,0,0,1,0
