GEOID,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019, grand_total ,cbsasub,NMDDA_output
28045030400,,,,,658008.5,379717.21,121069,,,,,,," $1,158,794.71 ",,
,0,,,,,,,,,,,,, $-   ,,
34027045100,,,,86751.37,,,,,,,,,," $86,751.37 ",METRO35620MM5640,
37161960200,,,,,,,,103313.1,,0,104951.58,,0," $208,264.68 ",NCNTY37161N37161,0
1071950400,,,82806.4,,,,,,,,,,," $82,806.40 ",,
,,,1201919.83,861030,307616,1728891,1070023.48,215965,129756,54978.33,79610.25,0,," $5,649,789.89 ",,
,,,,,105343.26,77798.52,0,116683.94,,,,,," $299,825.72 ",,
26095960100,,,,,2238728,144811.11,841436.09,2203256.52,46292.86,,,,," $5,474,524.58 ",,
40117957500,,,,,,,,,,,72800,,," $72,800.00 ",METRO46140N40117,
,,,,,,,,,,,,4315.25,151404.16," $155,719.41 ",,
,,,,,,6120.62,491972.75,619153.39,714424.2,596368.84,341125.07,59478.04,," $2,828,642.91 ",,
37061090702,,,70500,,,,,,,,,,," $70,500.00 ",NCNTY37061N37061,0
27021940001,,,,,,,,,,,65184,,," $65,184.00 ",,
1133965600,,,58012.74,,,,,,,,,,," $58,012.74 ",,
23005011100,,,,,,,,,,,,,54219.38," $54,219.38 ",,
36045060600,,,,0,599184,2914703.07,701728.46,,,,,,," $4,215,615.53 ",METRO48060M48060,
,79700,111238,,,,,,,,,,,," $190,938.00 ",,
33009961601,,,,,,,,,,,13053.57,61407.27,," $74,460.84 ",NCNTY33009N33009,0
6103000100,3914.02,,,,,,,,,54713,51680.75,,," $110,307.77 ",,
29061470200,,,,,51500,,,,,,,,," $51,500.00 ",,
,,,,,,,,,,,,24500,0," $24,500.00 ",,
,,,,,,32000,48900,,,,,,," $80,900.00 ",,
,12060,305944.86,354264.4,21517.15,511427.23,50751.97,37274.09,26947.04,14530.24,44758.94,44870.94,0,0," $1,424,346.86 ",,
26061000400,,152580.35,-14995.35,,,,,,,,,,," $137,585.00 ",,
48037011300,,,,,,,,,,,,24756,5404.07," $30,160.07 ",METRO45500M45500,
39009973700,,,,,,,,,,,35491.24,6238762.59,," $6,274,253.83 ",NCNTY39009N39009,0
21145031500,,,,,,72660.06,-2024.35,,,,,,," $70,635.71 ",,
51193010200,,,,51413.56,,,,,,,,,," $51,413.56 ",NCNTY51193N51193,0
1071950700,,,,24793.5,8270,,,,,0,,,," $33,063.50 ",,
26007000100,,,,30851.5,,,,,,,,,," $30,851.50 ",,
40051000500,,29844.45,,,,,,,,,,,," $29,844.45 ",METRO36420N40051,
,,,,,,,,,,0,0,,, $-   ,,
,,,25493,166745.84,,,,,,,,,," $192,238.84 ",,
,,,,,,43204.46,176817.16,,,,,,," $220,021.62 ",,
55129950600,,,,,43557,-189,,,,,,,," $43,368.00 ",NCNTY55129N55129,0
12051000402,,,23325,,,,,,,,,,," $23,325.00 ",,
37039930400,,22280.56,,,,,,,,,,,," $22,280.56 ",NCNTY37039N37039,0
40041375700,543516,654812,278940,1209694.6,1323145.72,1760743.74,2708220.94,2111668.18,1703515.49,2704986.98,220054.28,0,6028.62," $15,225,326.55 ",NCNTY40041N40041,0
46041941700,20000,0,0,0,0,,,,,,,,," $20,000.00 ",NCNTY46041N46041,0
,,,,,,,,,,,477170.72,102141.89,7787," $587,099.61 ",,
,,,,,,,,279580.25,270800,249578.92,19500,,," $819,459.17 ",,
13001950500,,,,19240,67510,,,,,,,,," $86,750.00 ",,
,,,,,,,,,,,19195,,," $19,195.00 ",,
,,,,,,,,,,,18094,,," $18,094.00 ",,
37039930602,,,,,,,,,,,,,18012.64," $18,012.64 ",NCNTY37039N37039,0
,,,,,17550,,,,,,,,," $17,550.00 ",,
51141030200,,16110,,,,,,,,,,,," $16,110.00 ",NCNTY51141N51141,0
,,,,,,,,,,,,14905.06,," $14,905.06 ",,
,,,,31859,-3967.28,13884,,,,,,,," $41,775.72 ",,
,,,,12846.99,,4750,,,,,,,," $17,596.99 ",,
,,,,12811.04,,16446,,,,,,,," $29,257.04 ",,
54003971300,12771,,,,,,,,,,,,," $12,771.00 ",METRO25180MM0877,
6035040200,,,119769,,,,,,,36129.56,11925,,," $167,823.56 ",,
46127020300,,,,,,,,,,,,,10887.91," $10,887.91 ",METRO43580M43580,
2240000400,,,,,,,516000,1457100,,,10600,,," $1,983,700.00 ",,
,,9498.5,,,,,,,,,,,," $9,498.50 ",,
,,,,,,24912.5,,,,,,,," $24,912.50 ",,
22041950100,,,,,,,2040,,2880,,2550,,," $7,470.00 ",,
37093970201,,,,,,,,,,,,7275,," $7,275.00 ",METRO22180N37093,
,,,,,7123.35,,,,,,,,," $7,123.35 ",,
,,2681,,,6630.08,,,,,,,,," $9,311.08 ",,
,,0,401287.05,312433.88,205411.97,248218.63,222824.85,20517.07,,,,,," $1,410,693.45 ",,
26051000500,,,5779.55,0,,,,,,,,,," $5,779.55 ",,
45067950200,,,5062.5,0,,,,,,,,,," $5,062.50 ",NCNTY45067N45067,0
,,10153.28,4837,,,,,,,,,,," $14,990.28 ",,
,,,59888,,4600,,,,,,,,," $64,488.00 ",,
,,,,,,20731,30478.5,,,,,,," $51,209.50 ",,
28107950600,20000,0,0,0,0,,,,,-12679.52,,,," $7,320.48 ",,
,,3353.95,,,,,,,,,,,," $3,353.95 ",,
,,2998,,,,,,,,,,,," $2,998.00 ",,
,,167970.99,22250,104410.77,105927.35,33952,36000,85644,,15140,,,," $571,295.11 ",,
42129803100,,,,1000,0,,,,,,,,," $1,000.00 ",METRO38300M38300,
16049960400,,,,,,,3341159.64,0,0,0,0,500,0," $3,341,659.64 ",,
,,,,,,,,339260,13825,,500,0,," $353,585.00 ",,
