GEOID,2016,2017,2018,2019,13qct,14qct,15qct,17qct,16qct,18qct,19qct,NMDDA
6009000300,,,,6888304,0,0,0,0,0,0,0,
34027046300,,2251905,4161612,,0,0,0,0,0,0,0,
15003004000,,,,,0,0,0,0,,0,0,
4023966000,,1537750,2304506,2304506,0,0,0,0,0,0,0,
40123088800,,,,,0,0,0,0,0,0,0,0
40109108310,,2976461,,2976461,0,0,0,0,0,0,0,
4023966000,,,,,0,0,0,0,0,0,0,
6019004207,,1218000,,,0,0,0,0,0,0,0,
24031701211,,,,5773566,0,0,0,0,,0,0,
29047022100,,,,,0,0,0,0,,0,0,
29047022100,,,,,0,0,0,0,,0,0,
36045060300,,,,,0,0,0,0,0,0,0,
40051000903,,,,,0,0,0,0,0,0,0,
45013001101,,,,,0,0,0,0,0,0,0,
24005492300,,,,,0,0,0,0,,0,0,
1089001402,,,,,0,0,0,0,0,0,0,
5103950500,,,,,0,0,0,0,0,0,0,
29115490100,,,2563500,2530610,0,0,0,0,,0,0,
29047022100,,5060839,,,0,0,0,0,,0,0,
54087962900,,,,,0,0,0,0,0,0,0,0
72105520100,,698065,1431993,2779012,0,0,0,0,0,0,0,
28025950200,,,,,0,0,0,0,,0,0,
27089080100,,,,,0,0,0,0,,0,0,
2180000200,451308,972,10000,3938338,0,0,0,0,0,0,0,
24019970400,,,,,0,0,0,0,,0,0,
32023960100,,,1152778,3092573,0,0,0,0,0,0,0,0
21085950400,,768500,1318777,1935731,0,0,0,0,,0,0,
37141920202,,2108432,2063086,,0,0,0,0,0,0,0,
26163517200,,,,,0,0,0,0,,0,0,
40101001600,,,,,0,0,0,0,0,0,0,0
22053000500,,,,,0,0,0,0,,0,0,
56013940500,100594,3594200,0,0,0,0,0,0,0,0,0,0
15003010100,,3606895,,,0,0,0,0,,0,0,
48085030504,,3579863,,,0,0,0,0,0,0,0,
51173030200,,,,3579031,0,0,0,0,0,0,0,0
40081961100,3103503,444297,0,,0,0,0,0,0,0,0,
13199970700,,,,,0,0,0,0,,0,0,
53063014400,,,,,0,0,0,0,0,0,0,
16055001400,,,,,0,0,0,0,,0,0,
38067950400,,,,,0,0,0,0,0,0,0,0
40125500900,,1126314,2124996,172336,0,0,0,0,0,0,0,0
40019893100,,1375208,1951952,,0,0,0,0,0,0,0,0
26165380500,,153591,,3171518,0,0,0,0,,0,0,
12045960300,,,,,0,0,0,0,,0,0,
2122001000,,,10000,0,0,0,0,0,0,0,0,
51059461000,,3137648,,,0,0,0,0,0,0,0,
26095960100,,1307830,149888,1614645,0,0,0,0,,0,0,
2170001004,,1980372,,994213,0,0,0,0,0,0,0,
13051000300,,,,,0,0,0,0,,0,0,
41019100000,,,,2873528,0,0,0,0,0,0,0,1
51510200900,,935554,,935554,0,0,0,0,0,0,0,
40131050408,,,,,0,0,0,0,0,0,0,
51059450601,,,2656253,,0,0,0,0,0,0,0,
51510201300,205650,189863,1867185,349902,0,0,0,0,0,0,0,
13059001900,,,,,0,0,0,0,,0,0,
37085070300,,,,,0,0,0,0,0,0,0,1
37163970302,,,,,0,0,0,0,0,0,0,0
2090001400,,,,,0,0,0,0,0,0,0,
2170001100,,203055,1667112,555654,0,0,0,0,0,0,0,
36045061100,,,,,0,0,0,0,0,0,0,
51089010700,,,,,0,0,0,0,0,0,0,0
34015501105,,,,,0,0,0,0,0,0,0,
24031700823,,,,,0,0,0,0,,0,0,
2170001004,,108352,427334,1752275,0,0,0,0,0,0,0,
45043920501,,,,,0,0,0,0,0,0,0,1
40113940010,,,,,0,0,0,0,0,0,0,
19065080100,,,,,0,0,0,0,,0,0,
1051030600,,,,,0,0,0,0,0,0,0,
2220000200,,1339588,,876946,0,0,0,0,0,0,0,
28149950600,,,,,0,0,0,0,,0,0,
45015020102,,,,,0,0,0,0,0,0,0,
12113010900,,,,,0,0,0,0,,0,0,
37163970301,,,,,0,0,0,0,0,0,0,0
37039930602,,2109123,,,0,0,0,0,0,0,0,0
16055000402,,,,,0,0,0,0,,0,0,
29169470400,,,,,0,0,0,0,,0,0,
16055000700,,,,,0,0,0,0,,0,0,
24023000100,,1188228,108000,486328,0,0,0,0,,0,0,
2090000600,,,,,0,0,0,0,0,0,0,
26121000900,,,,1947851,0,0,0,0,,0,0,
53045960400,,,,,0,0,0,0,0,0,0,1
23021960700,,938619,,,0,0,0,0,,0,0,
35015001000,,,,,0,0,0,0,0,0,0,0
28139950100,,,,,0,0,0,0,,0,0,
28139950100,,,,,0,0,0,0,,0,0,
28083950600,,,,,0,0,0,0,,0,0,
42039111800,,,,,0,0,0,0,0,0,0,0
53077940001,,,,1809000,0,0,0,0,0,0,0,
55013970900,,,,,0,0,0,0,0,0,0,0
36089492600,,,,,0,0,0,0,0,0,0,0
72025200700,,,804342,964342,0,0,0,0,0,0,0,
51013101403,,,1560522,199114,0,0,0,0,0,0,0,
46081966600,,,,,0,0,0,0,0,0,0,0
2150000400,,829847,,829847,0,0,0,0,0,0,0,
12033000800,,1632290,,,0,0,0,0,,0,0,
11001007200,,1610779,,,0,0,0,0,,0,0,
15007040500,,,,,0,0,0,0,,0,0,
40113940010,,12300,702800,702800,0,0,0,0,0,0,0,
36049950600,,,,,0,0,0,0,0,0,0,0
9009351900,,,,,0,0,0,0,0,0,0,
37047930300,,1567198,0,0,0,0,0,0,0,0,0,0
6073005600,,1560126,,,0,0,0,0,0,0,0,
33009960900,,933260,0,621366,0,0,0,0,0,0,0,0
2122000700,,,,1545755,0,0,0,0,0,0,0,
40109109003,,,,1498335,0,0,0,0,0,0,0,
38017000400,529085,535462,62380,326708,0,0,0,0,0,0,0,
6073019002,,1446000,,,0,0,0,0,0,0,0,
47123925000,,1429820,0,0,0,0,0,0,0,0,0,0
30029000201,,,,,0,0,0,0,,0,0,0
26039960300,,306279,528612,257842,0,0,0,0,,0,0,
51109950201,,,,,0,0,0,0,0,0,0,1
16055000402,60386,1255338,0,,0,0,0,0,,0,0,
38055961000,,352647,473738,473738,0,0,0,0,0,0,0,0
51103030100,,,,,0,0,0,0,0,0,0,1
4013941100,,,,,0,0,0,0,0,0,0,
16079960200,,124337,,1113338,0,0,0,0,,0,0,
36103145603,302809,302809,302809,302809,0,0,0,0,0,0,0,
24031700904,,504900,680409,,0,0,0,0,,0,0,
53063014400,,,,,0,0,0,0,0,0,0,
53035940100,0,0,1177535,,0,0,0,0,0,0,0,
6111002800,,476250,250,696972,0,0,0,0,0,0,0,
38067950400,,0,0,,0,0,0,0,0,0,0,0
51153901602,,182500,250,937756,0,0,0,0,0,0,0,
35009000304,,,,,0,0,0,0,0,0,0,1
24031702500,,1085643,0,0,0,0,0,0,,0,0,
49035114500,,460583,,,0,0,0,0,0,0,0,
28157950200,,,,,0,0,0,0,,0,0,
12005000202,,,,,0,0,0,0,,0,0,
2122000500,,,,,0,0,0,0,0,0,0,
39057210100,,,,,0,0,0,0,0,0,0,
53025010100,,,,,0,0,0,0,0,0,0,0
53049950200,,,,1045421,0,0,0,0,0,0,0,0
18093950700,,,,,0,0,0,0,,0,0,
12133970302,,,,,0,0,0,0,,0,0,
42047950200,,,,,0,0,0,0,0,0,0,0
2185000200,,,,,0,0,0,0,0,0,0,
24031702500,,375122,,,0,0,0,0,,0,0,
2130000100,,,,950454,0,0,0,0,0,0,0,
1089001402,,,,,0,0,0,0,0,0,0,
51059461602,,,383302,562330,0,0,0,0,0,0,0,
51179010204,,,546424,392429,0,0,0,0,0,0,0,
34039031200,,534120,0,0,0,0,0,0,0,0,0,
27021960301,,,,,0,0,0,0,,0,0,
27021960301,,753965,,,0,0,0,0,,0,0,
2170001202,,,0,896548,0,0,0,0,0,0,0,
38035011400,,,,,0,0,0,0,0,0,0,
12086006601,,,,872783,0,0,0,0,,0,0,
27021960801,,,,,0,0,0,0,,0,0,
40087400101,,851287,,,0,0,0,0,0,0,0,
53015001700,,,,,0,0,0,0,0,0,0,
8085966601,,,,,0,0,0,0,0,0,0,
6085505202,,,,,0,0,0,0,0,0,0,
6059011602,,259456,368549,184661,0,0,0,0,0,0,0,
13317010301,808105,,,,0,0,0,0,,0,0,
13179010206,,,,,0,0,0,0,,0,0,
11001010100,26954,,,353132,0,0,0,0,,0,0,
27021960301,,,,,0,0,0,0,,0,0,
4003001300,,,,,0,0,0,0,0,0,0,
16079960200,,671401,108186,,0,0,0,0,,0,0,
45021970100,,,764290,1718,0,0,0,0,0,0,0,1
53057952302,,,,,0,0,0,0,0,0,0,
48039661000,,,,744380,0,0,0,0,0,0,0,
5051010300,,,282790,454500,0,0,0,0,0,0,0,
27035951302,,,92908,108913,0,0,0,0,,0,0,
53071920900,,,,,0,0,0,0,0,0,0,
2170001100,,714929,,,0,0,0,0,0,0,0,
27089080100,351732,351732,,,0,0,0,0,,0,0,
5119003303,,,,694572,0,0,0,0,0,0,0,
12073000302,,,,661579,0,0,0,0,,0,0,
42087960600,,,,,0,0,0,0,0,0,0,0
24047951700,,,638200,,0,0,0,0,,0,0,
53065950600,,,324823,312644,0,0,0,0,0,0,0,
53009001500,,,,,0,0,0,0,0,0,0,1
40125500900,,,,,0,0,0,0,0,0,0,0
24003751200,,,76320,539991,0,0,0,0,,0,0,
37183053523,,,,605705,0,0,0,0,0,0,0,
